HITId	tweet	sentiment	directness	annotator_sentiment	target	group
NULL	بفهمك يمكن صعبة عليك تشوف إنسان ناجح و نظيف متل جبران باسيل	NULL	NULL	NULL	NULL	NULL
213.0	i'm racist! touched tan dick once. sure race though. kinda spic.	fearful_abusive_offensive_disrespectful_normal	indirect	fear_shock_indifference_sadness_disgust	origin	individual
NULL	Love is a bird of flames. Thank you for that song @DAVID_LYNCH @chrysta_bell	NULL	NULL	NULL	NULL	NULL
1249.0	pretty sure r iphone xr stands retarded	offensive_hateful	indirect	confusion_fear_shock_sadness	disability	special_needs
1239.0	بيليتش يدرب السميري و العلياني و فهد المولد  والله الفلوس وسخ دنيا اذا تسوي فيك كذا	normal	indirect	sadness	other	other
NULL	هذا هو النهج الصحيح 	NULL	NULL	NULL	NULL	NULL
3108.0	@user والله العظيم ان بول البعير اشرف وأنظف من هذا الكائن النكره	hateful	direct	shock	other	individual
1264.0	@user محمد العوده كفو وما يهمه كلامكم يا كلاب يا حراميه عشان الرواضين نخوه جتكم غيرة الحريم استحو على وجيهكم ا… @url	abusive_disrespectful	direct	shock	religion	other
NULL	RT @SeanTheTerrible: I don't care how pretty you are, if your personality is trash men are going to treat you accordingly.. That's not tru&#8230;	NULL	NULL	NULL	NULL	NULL
NULL	عالاقل ميسي طابته كانت عالهدف، الأخ تبع بيرو شاطها عالفضاء الخارجي	NULL	NULL	NULL	NULL	NULL
NULL	نجح رئيس الجمهورية العماد ميشال عون ووزير الخارجية جبران باسيل بفرض موضوع النازحين على البيانين في ختام القمة	NULL	NULL	NULL	NULL	NULL
333.0	africa shithole full africans. south america ditto. arab countries fare better due oil @url	normal	indirect	anger_sadness	origin	other
3030.0	@user bunch twat's. @url	offensive	indirect	anger_sadness	gender	women
NULL	هل هناك مصلحه مشتركه بين جبران باسيل و نبيه بري بشأن التطبيع مع سوريا ؟ طب ليش الثنائي الشيعي ما بيوثق بف…	NULL	NULL	NULL	NULL	NULL
4801.0	@user @user shut fuck faggot	hateful	indirect	anger_sadness	sexual_orientation	individual
309.0	دخلت ابااشارك لأَنِّي احب الخيل بس ماش ناس عقولها وتفكيرها وسخ للاسف	normal	direct	shock	other	other
1610.0	2017 right-wing terrorist attacks outpaced leftist islamic terrorist attacks. 2x many ri @url	fearful_hateful	indirect	anger_fear_shock_indifference_sadness	origin	muslims
NULL	تصريح لاحد النواب من حزب الله مشكلة الحكومة ليست عند الوزير جبران باسيل بل عند الرئيس المكلف منطق سياسي سليم ودقيق	NULL	NULL	NULL	NULL	NULL
403.0	كمً بتتكلمونً في الموضوع ولين متى بتلومون الحريم @url	normal	indirect	indifference_disgust	gender	women
5216.0	@user @user many cunts would cultcunt cult cultcunt could cunt cults?	offensive_disrespectful	indirect	sadness_indifference	gender	women
NULL	@1usagrunt. I wonder what Charlie Brown would have to say about these days.	NULL	NULL	NULL	NULL	NULL
4041.0	@user @user well ya go- another raghead freak! people gotta go- hell would vote her? looks evil	offensive_hateful	indirect	anger_disgust	religion	other
3758.0	@user ahaha guy types much well another fat retard banned cya	hateful	indirect	sadness_disgust	disability	special_needs
NULL	RT @indykaila: Exclusive: Ars&#232;ne Wenger gave two yellow cards &amp; red card while refereeing a charity match in Rome. @Arsenal	NULL	NULL	NULL	NULL	NULL
3394.0	@user @user @user screenshoting instagram followers mongol.. u randy deal	offensive_disrespectful	indirect	anger_fear_shock_indifference_sadness	origin	other
NULL	ديما اكتر شخص مستفز عا تي في هوا الحريه	NULL	NULL	NULL	NULL	NULL
2807.0	@user لولم تكن خنزير لعرفت أن إسم الجلالة يطلق على ملك الملوك الواحد القهار العضيم الجبار الله عزوجل....لاكن مع… @url	offensive	indirect	sadness	other	individual
NULL	@Stephicans mhmm tweet bird &#128037;	NULL	NULL	NULL	NULL	NULL
5358.0	seaside worst map time dead ass u get team shotted going b retarded u get bomb plant	offensive	indirect	confusion_fear_shock_indifference_sadness	disability	special_needs
94.0	@user @user economic asylum thing. neither country shithole asylum. nnhow @url	abusive_offensive_hateful_disrespectful_normal	indirect	confusion_indifference	origin	other
806.0	fuck would raghead know british?nnsadiq khan claims there's 'nothing british' trustin @url	offensive_hateful	indirect	anger_confusion_sadness_shock_disgust	origin	indian/hindu
NULL	RT @GoatIdeas: Oreo Frappuccino http://t.co/o3QJ8M1nFf	NULL	NULL	NULL	NULL	NULL
NULL	&#8220;@AdderallHadMe: Adderall had me killing two birds with one stone http://t.co/wMiNpN64m2&#8221;&#128128;	NULL	NULL	NULL	NULL	NULL
4317.0	@user time executive order? american citizen want illegal aliens voting ele @url	offensive	indirect	indifference_disgust	origin	immigrants
4711.0	@user exactly trying prove this? despicable are? #nyc anti-christian ant @url	offensive	indirect	sadness_indifference	origin	other
NULL	RT @kitt: @shinypb not only you. and that pom stuff? totally porn.	NULL	NULL	NULL	NULL	NULL
NULL	@TTUKingsbury morphing into Charlie Weis will never cease to be disturbing.	NULL	NULL	NULL	NULL	NULL
1607.0	واحدة بايرة بورة شديدة م صدقت عرسوها يوم عرسها قامت من الكوشة ونادت اخوها قالت لي تعال اقعد لي في مقعدي ده ماشه اشرب موية وجايه	abusive_disrespectful	direct	indifference	other	women
3043.0	dave roberts fuckin retarded! 	offensive	indirect	shock_indifference	disability	special_needs
2200.0	@user @user @user @user i'm spic voted trump! #latinoswithtrump #walkaway democrat plantation	offensive	indirect	sadness_disgust	origin	other
1282.0	@user @user @user joya negro gatoo avisen	offensive	indirect	sadness_indifference	origin	individual
571.0	ما انصح بزيارة اوربا بشكل عام بشهر فبراير بسبب الاجواء الشتوية القارصة..لاسيما وانت تتلكم عن شهر عسل	normal	indirect	indifference	other	other
NULL	Ion kno wat kinda spring clothes imma get my yung nicca dis year we ain't doin da polo dis year gotta offset em wit sumthin else	NULL	NULL	NULL	NULL	NULL
4634.0	i'm never dissapointed comments here. plain ignorance honestly retarded. zzzz @url	offensive	indirect	anger_fear_shock_indifference_disgust	disability	special_needs
2761.0	@user pussy wetter back spic	offensive	direct	anger_disgust	origin	other
NULL	ما حدا بموت و إلو عند التاني شي يا قائد العين بالعين والسن بالسن والبادي أظلم انشالله بكرا بذوب الثلج وببان المرج 	NULL	NULL	NULL	NULL	NULL
1594.0	@user @user @user يعني اقسم بالله بدي اشلح حذائي واحشيه في فمك يا سعودي يا شارب بول البعير. ت… @url	hateful_disrespectful	indirect	disgust	origin	individual
5095.0	see faggot floor @url	hateful_disrespectful	indirect	indifference_disgust	sexual_orientation	other
3825.0	@user fuck that's one sick cunt	offensive	direct	anger_sadness	gender	women
2967.0	@user even dog fucking retard	abusive_normal	indirect	anger_confusion_fear_shock_indifference	other	special_needs
NULL	They come out Charlie Sheen... They come out coupe machine @wontgetme_22	NULL	NULL	NULL	NULL	NULL
NULL	لك كانت صفر صفر رحت طالعت الكلاب يشخوا كم دقيقة رجعت	NULL	NULL	NULL	NULL	NULL
2112.0	@user case forgot retard @url	offensive	indirect	anger_disgust	disability	special_needs
2181.0	علشان ما رضخنا لك قامت تظهر لي في مناماتي بتحاربني في رجالي وتخليني عنده عجوز بايره لانفعه في رحم ولا بيت ولا اولاد… @url	fearful_disrespectful	indirect	sadness	other	individual
NULL	I get a 50 pound bag of dawg for the mutts	NULL	NULL	NULL	NULL	NULL
2360.0	@user @user خلي اليمن تكون زي عدن اهم شي مافيها روافض مجوس  مافيها ولاية الفقية مافيها ملالي ايران… @user	abusive_hateful	direct	shock	origin	other
2239.0	قاعد اشرب دم خنازير	hateful	indirect	disgust	origin	individual
NULL	@Lvl_7_Eevee @UnicornCowboy @hisorraya I'll trade you one car drift for brownies.	NULL	NULL	NULL	NULL	NULL
NULL	RT @LOHANTHONY: i'm so hungry if someone would send me a flying parachute with brownies attached to it like they do in the hunger games tha&#8230;	NULL	NULL	NULL	NULL	NULL
1920.0	@user @user @user المذكوره أعلاه لها مقاطع في اليوتوب عندما كانت بقره حلوب متبرجه ومن كلامها في… @url	offensive	indirect	sadness	gender	individual
4913.0	worthy negro spiritual #carterv @url	offensive	indirect	anger_confusion_sadness_shock_disgust	origin	other
