1CB9BD15.txt.ptree,0,5,0..3,Why
1CB9BD15.txt.ptree,0,8,4..6,do
1CB9BD15.txt.ptree,0,11,7..12,black
1CB9BD15.txt.ptree,0,13,13..22,americans
1CB9BD15.txt.ptree,0,16,23..29,insist
1CB9BD15.txt.ptree,0,19,30..32,on
1CB9BD15.txt.ptree,0,23,33..40,writing
1CB9BD15.txt.ptree,0,26,41..45,with
1CB9BD15.txt.ptree,0,29,46..50,shit
1CB9BD15.txt.ptree,0,31,51..58,english
1CB9BD15.txt.ptree,0,33,58..59,?
1CB9BD15.txt.ptree,1,5,60..63,Not
1CB9BD15.txt.ptree,1,7,64..71,exactly
1CB9BD15.txt.ptree,1,10,72..80,fighting
1CB9BD15.txt.ptree,1,14,81..84,the
1CB9BD15.txt.ptree,1,16,85..95,stereotype
1CB9BD15.txt.ptree,1,19,96..98,of
1CB9BD15.txt.ptree,1,23,99..104,being
1CB9BD15.txt.ptree,1,27,105..108,the
1CB9BD15.txt.ptree,1,29,109..113,dumb
1CB9BD15.txt.ptree,1,31,114..118,race
1CB9BD15.txt.ptree,1,35,119..123,when
1CB9BD15.txt.ptree,1,39,124..127,you
1CB9BD15.txt.ptree,1,42,128..137,celebrate
1CB9BD15.txt.ptree,1,45,138..141,bad
1CB9BD15.txt.ptree,1,47,142..149,grammar
1CB9BD15.txt.ptree,1,49,150..153,and
1CB9BD15.txt.ptree,1,51,154..162,spelling
1CB9BD15.txt.ptree,1,53,162..163,.
